Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-01 00:00:00+05:30,5.488788196876267,5.513003625570773,5.456501328112225,5.462958812713623,10800,0.0,0.0
1996-01-02 00:00:00+05:30,5.462959318474112,5.601793310407095,5.475874288872576,5.546905517578125,27000,0.0,0.0
1996-01-03 00:00:00+05:30,5.617938107802745,5.617938107802745,5.488790035247804,5.488790035247803,10800,0.0,0.0
1996-01-04 00:00:00+05:30,5.4887896188989505,5.492018639157691,5.375785548947975,5.49040412902832,41400,0.0,0.0
1996-01-05 00:00:00+05:30,5.490404189498844,5.493633209793149,5.424215924382786,5.492018699645996,46800,0.0,0.0
1996-01-08 00:00:00+05:30,5.42421305332344,5.521074188750882,5.42421305332344,5.482329845428467,54000,0.0,0.0
1996-01-09 00:00:00+05:30,5.482333102726721,5.488790035247804,5.3951578627744885,5.488790035247803,41400,0.0,0.0
1996-01-10 00:00:00+05:30,5.488788353603199,5.488788353603199,5.427443079502686,5.456501483917236,18900,0.0,0.0
1996-01-11 00:00:00+05:30,5.456501483917236,5.519461267774938,5.424214614231275,5.456501483917236,38700,0.0,0.0
1996-01-12 00:00:00+05:30,5.45649979226288,5.480715214141434,5.42421293258667,5.42421293258667,1800,0.0,0.0
1996-01-15 00:00:00+05:30,5.42421514858918,5.48071745322733,5.45811653137207,5.45811653137207,9900,0.0,0.0
1996-01-16 00:00:00+05:30,5.458116585288408,5.488788948541809,5.424215202170633,5.440358638763428,41400,0.0,0.0
1996-01-17 00:00:00+05:30,5.379014422985513,5.600180712005066,5.379014422985513,5.488790035247803,21600,0.0,0.0
1996-01-18 00:00:00+05:30,5.4887893267214425,5.4887893267214425,5.425830085944539,5.42905855178833,32400,0.0,0.0
1996-01-19 00:00:00+05:30,5.4242162760919,5.492019055751479,5.4242162760919,5.488790035247803,35100,0.0,0.0
1996-01-22 00:00:00+05:30,5.4435869131523775,5.464573322424711,5.4435869131523775,5.462958812713623,42300,0.0,0.0
1996-01-23 00:00:00+05:30,5.462957275046681,5.472643222100985,5.42421293258667,5.42421293258667,54900,0.0,0.0
1996-01-24 00:00:00+05:30,5.327353256401606,5.472644718926067,5.227263631484128,5.453272819519043,49500,0.0,0.0
1996-01-25 00:00:00+05:30,5.453273222419527,5.359641075134277,5.32735364999886,5.359641075134277,28800,0.0,0.0
1996-01-26 00:00:00+05:30,5.359641075134277,5.359641075134277,5.359641075134277,5.359641075134277,0,0.0,0.0
1996-01-29 00:00:00+05:30,5.359641168157781,5.398385524749756,5.24663656382994,5.398385524749756,28800,0.0,0.0
1996-01-30 00:00:00+05:30,5.398386764122739,5.464575032069546,5.327354965527326,5.4597320556640625,78300,0.0,0.0
1996-01-31 00:00:00+05:30,5.359641402855877,5.462959506877766,5.359641402855877,5.45811653137207,30600,0.0,0.0
1996-02-01 00:00:00+05:30,5.458116675884236,5.4807175983378915,5.391928418482258,5.479103088378906,25200,0.0,0.0
1996-02-02 00:00:00+05:30,5.479102185991013,5.504932124108542,5.425828908548759,5.461344242095947,49500,0.0,0.0
1996-02-05 00:00:00+05:30,5.4242143988556775,5.461344242095947,5.36771210202726,5.461344242095947,30600,0.0,0.0
1996-02-06 00:00:00+05:30,5.461343973033249,5.609864447163093,5.424214131622246,5.5582051277160645,67500,0.0,0.0
1996-02-07 00:00:00+05:30,5.558206298829788,5.55336332321167,5.424215274504069,5.55336332321167,15300,0.0,0.0
1996-02-08 00:00:00+05:30,5.521077853864467,5.9730958621889245,5.488790417793084,5.645382404327393,76500,0.0,0.0
1996-02-09 00:00:00+05:30,5.645378241001461,6.199100017547608,5.973091457182654,6.199100017547607,64800,0.0,0.0
1996-02-12 00:00:00+05:30,6.263676432634067,6.7802680005329945,6.263676432634067,6.702779293060303,70200,0.0,0.0
1996-02-13 00:00:00+05:30,6.702781589239279,6.844844637767871,6.667266242789489,6.814172267913818,38700,0.0,0.0
1996-02-14 00:00:00+05:30,7.103135825715461,7.490579225172995,6.975601796057817,6.978830814361572,81900,0.0,0.0
1996-02-15 00:00:00+05:30,6.978831935661249,7.2306704628933085,6.780266676573064,6.99174690246582,36900,0.0,0.0
1996-02-16 00:00:00+05:30,6.991750309920439,6.8448442922125174,6.400897772935628,6.489686965942383,33300,0.0,0.0
1996-02-19 00:00:00+05:30,6.48968566438116,6.521973090652468,6.304035873096914,6.512287139892578,45900,0.0,0.0
1996-02-20 00:00:00+05:30,6.586548094179437,6.747983039433319,6.45740002712771,6.618834972381592,103500,0.0,0.0
1996-02-21 00:00:00+05:30,6.618834972381592,6.618834972381592,6.618834972381592,6.618834972381592,0,0.0,0.0
1996-02-22 00:00:00+05:30,6.618834972381592,6.6511218505837455,6.618834972381592,6.618834972381592,50400,0.0,0.0
1996-02-23 00:00:00+05:30,6.61883374645029,6.941703577156547,6.651120618672315,6.8739013671875,101700,0.0,0.0
1996-02-26 00:00:00+05:30,6.873899554266475,7.361432637268971,6.941701746353384,7.300087928771973,135000,0.0,0.0
1996-02-27 00:00:00+05:30,7.300089979654984,8.007174932148173,7.183856350867703,7.765022277832031,112500,0.0,0.0
1996-02-28 00:00:00+05:30,7.765021349891287,7.878025945350671,7.684304177593835,7.729506015777588,168300,0.0,0.0
